German,English
der,the
und,and
in,in
sein,be
ein,a 
haben,to have
sie,you
werden,will
von,from
ich,I
nicht,not
es,it
mit,With
sich,itself
er,he
auf,on
für,for
auch,also
an,at
dass,that
zu,to
als,as
können,be able
dies,this
wie,how
wir,weather
ihr,her
so,so
bei,at
sein,be
aber,but
man,one
noch,still
nach,to
oder,or
all,Alles
aus,out of
was,What
nur,just
sagen,to say
dann,then
wenn,if
müssen,have to
um,around
ja,Yes
kein,no
über,about
da,there
geben,give
vor,in front
